0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,movie
Aeon Flux (2005),X-Men: First Class (2011),Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),"Science of Sleep, The (La science des rÃªves) (2006)",Hancock (2008),Midnight in Paris (2011),District 9 (2009),"Importance of Being Earnest, The (2002)",Sherlock Holmes: A Game of Shadows (2011),Lars and the Real Girl (2007),DÃ©jÃ  Vu (Deja Vu) (2006),Limitless (2011),Along Came a Spider (2001),Identity (2003),Wanted (2008),"Avengers, The (2012)",Coraline (2009),Grindhouse (2007),Milk (2008),Pitch Black (2000),Aeon Flux (2005)
Billy Elliot (2000),Hotel Rwanda (2004),"Inconvenient Truth, An (2006)","Aviator, The (2004)",Howl's Moving Castle (Hauru no ugoku shiro) (2004),Juno (2007),Chocolat (2000),"Good bye, Lenin! (2003)",Spellbound (2002),Thank You for Smoking (2006),"Das Experiment (Experiment, The) (2001)","Last King of Scotland, The (2006)",Little Miss Sunshine (2006),Confessions of a Dangerous Mind (2002),Walk the Line (2005),"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",Slumdog Millionaire (2008),Coraline (2009),Stranger than Fiction (2006),You Can Count on Me (2000),Billy Elliot (2000)
U-571 (2000),The Count of Monte Cristo (2002),"Recruit, The (2003)",Pay It Forward (2000),Kingdom of Heaven (2005),Ocean's Thirteen (2007),We Were Soldiers (2002),Proof of Life (2000),Sherlock Holmes: A Game of Shadows (2011),Runaway Jury (2003),"6th Day, The (2000)",Die Another Day (2002),Madagascar (2005),Gravity (2013),Shallow Hal (2001),"Transporter, The (2002)",Sherlock Holmes (2009),Argo (2012),Men of Honor (2000),Paycheck (2003),U-571 (2000)
Coraline (2009),"Last King of Scotland, The (2006)",Eastern Promises (2007),Zodiac (2007),Matchstick Men (2003),"Station Agent, The (2003)",Howl's Moving Castle (Hauru no ugoku shiro) (2004),Hotel Rwanda (2004),Scott Pilgrim vs. the World (2010),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",3:10 to Yuma (2007),Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),"Das Experiment (Experiment, The) (2001)","Prestige, The (2006)","Good bye, Lenin! (2003)","Good Night, and Good Luck. (2005)",Gone Baby Gone (2007),"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",In America (2002),"King's Speech, The (2010)",Coraline (2009)
Red Dragon (2002),Once (2006),"Simpsons Movie, The (2007)",Proof of Life (2000),"Manchurian Candidate, The (2004)",Matchstick Men (2003),Sherlock Holmes: A Game of Shadows (2011),Cinderella Man (2005),American Gangster (2007),"King's Speech, The (2010)",Catch Me If You Can (2002),"Illusionist, The (2006)",Skyfall (2012),Behind Enemy Lines (2001),Hotel Rwanda (2004),"Das Experiment (Experiment, The) (2001)",Spy Game (2001),King Kong (2005),In America (2002),"Importance of Being Earnest, The (2002)",Red Dragon (2002)
"Last King of Scotland, The (2006)","Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)","Maria Full of Grace (Maria, Llena eres de gracia) (2004)",American Gangster (2007),Eastern Promises (2007),Capote (2005),Gone Baby Gone (2007),Coraline (2009),Spellbound (2002),Walk the Line (2005),Hotel Rwanda (2004),Stranger than Fiction (2006),3:10 to Yuma (2007),Thank You for Smoking (2006),Confessions of a Dangerous Mind (2002),"Good bye, Lenin! (2003)","Station Agent, The (2003)","Very Long Engagement, A (Un long dimanche de fianÃ§ailles) (2004)","Hurt Locker, The (2008)",Road to Perdition (2002),"Last King of Scotland, The (2006)"
"Wedding Planner, The (2001)",Miss Congeniality (2000),What Women Want (2000),Maid in Manhattan (2002),Legally Blonde (2001),How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),Kate & Leopold (2001),"Whole Nine Yards, The (2000)","Family Man, The (2000)",Tangled (2010),Keeping the Faith (2000),"Devil Wears Prada, The (2006)",Enchanted (2007),Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),Iron Man 2 (2010),Mona Lisa Smile (2003),Pay It Forward (2000),Pride & Prejudice (2005),Ocean's Thirteen (2007),"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)","Wedding Planner, The (2001)"
"Bourne Identity, The (2002)","Bourne Supremacy, The (2004)","Bourne Ultimatum, The (2007)",Man on Fire (2004),"Prestige, The (2006)",Looper (2012),Catch Me If You Can (2002),Skyfall (2012),Batman Begins (2005),"Dark Knight Rises, The (2012)",Road to Perdition (2002),We Were Soldiers (2002),Inception (2010),Matchstick Men (2003),Live Free or Die Hard (2007),Runaway Jury (2003),"Illusionist, The (2006)",Casino Royale (2006),Ocean's Eleven (2001),"Dark Knight, The (2008)","Bourne Identity, The (2002)"
"Scanner Darkly, A (2006)","Lives of Others, The (Das leben der Anderen) (2006)","Constant Gardener, The (2005)","Station Agent, The (2003)","Good Night, and Good Luck. (2005)",Eastern Promises (2007),Zodiac (2007),"Man Who Wasn't There, The (2001)",Requiem for a Dream (2000),Confessions of a Dangerous Mind (2002),No Man's Land (2001),City of God (Cidade de Deus) (2002),Syriana (2005),Hero (Ying xiong) (2002),Volver (2006),Jarhead (2005),Whale Rider (2002),Burn After Reading (2008),"Downfall (Untergang, Der) (2004)",Sexy Beast (2000),"Scanner Darkly, A (2006)"
Inside Man (2006),Man on Fire (2004),"Manchurian Candidate, The (2004)","Illusionist, The (2006)",Coraline (2009),Skyfall (2012),"Pursuit of Happyness, The (2006)",Band of Brothers (2001),"King's Speech, The (2010)",Matchstick Men (2003),Walk the Line (2005),Runaway Jury (2003),Shutter Island (2010),"Good bye, Lenin! (2003)","Das Experiment (Experiment, The) (2001)",American Gangster (2007),Lucky Number Slevin (2006),"Beautiful Mind, A (2001)",Frida (2002),Midnight in Paris (2011),Inside Man (2006)
Final Destination (2000),Secret Window (2004),Space Cowboys (2000),"Italian Job, The (2003)",Red Planet (2000),Click (2006),"Time Machine, The (2002)",I Am Legend (2007),Die Another Day (2002),"I, Robot (2004)",Mr. & Mrs. Smith (2005),Gone in 60 Seconds (2000),"Knight's Tale, A (2001)",Along Came a Spider (2001),Ocean's Thirteen (2007),40 Days and 40 Nights (2002),Keeping the Faith (2000),Behind Enemy Lines (2001),Paycheck (2003),Hitch (2005),Final Destination (2000)
Seabiscuit (2003),Limitless (2011),Hotel Rwanda (2004),Ice Age 2: The Meltdown (2006),Live Free or Die Hard (2007),Runaway Jury (2003),Iron Man 2 (2010),Skyfall (2012),Finding Forrester (2000),Sherlock Holmes: A Game of Shadows (2011),Despicable Me (2010),Tangled (2010),Changing Lanes (2002),Two Weeks Notice (2002),"Bourne Supremacy, The (2004)",Midnight in Paris (2011),Proof of Life (2000),Sherlock Holmes (2009),X-Men: First Class (2011),Matchstick Men (2003),Seabiscuit (2003)
Talk to Her (Hable con Ella) (2002),"Good Night, and Good Luck. (2005)",City of God (Cidade de Deus) (2002),"Good bye, Lenin! (2003)","Lives of Others, The (Das leben der Anderen) (2006)",Amores Perros (Love's a Bitch) (2000),"Station Agent, The (2003)","Motorcycle Diaries, The (Diarios de motocicleta) (2004)","Constant Gardener, The (2005)",Children of Men (2006),Super Size Me (2004),Secretary (2002),Eternal Sunshine of the Spotless Mind (2004),"Last King of Scotland, The (2006)",Broken Flowers (2005),Monsoon Wedding (2001),Persepolis (2007),Wallace & Gromit in The Curse of the Were-Rabbit (2005),Coraline (2009),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Talk to Her (Hable con Ella) (2002)
Red Planet (2000),"I, Robot (2004)",Behind Enemy Lines (2001),"6th Day, The (2000)",Mr. Deeds (2002),"Italian Job, The (2003)",Hancock (2008),We Were Soldiers (2002),Taken (2008),Spy Game (2001),"Transporter, The (2002)","Island, The (2005)",Kingdom of Heaven (2005),I Am Legend (2007),Ocean's Thirteen (2007),Secret Window (2004),Skyfall (2012),Fantastic Four (2005),Click (2006),"Recruit, The (2003)",Red Planet (2000)
Chicago (2002),Mean Girls (2004),Thirteen (2003),"Simpsons Movie, The (2007)",Atonement (2007),Hotel Rwanda (2004),In America (2002),Red Dragon (2002),"Devil Wears Prada, The (2006)","King's Speech, The (2010)",Limitless (2011),Ice Age (2002),Midnight in Paris (2011),Sherlock Holmes: A Game of Shadows (2011),Chocolat (2000),Matchstick Men (2003),"Station Agent, The (2003)",Super Size Me (2004),Michael Clayton (2007),"Social Network, The (2010)",Chicago (2002)
"Man Who Wasn't There, The (2001)","Lives of Others, The (Das leben der Anderen) (2006)","Good Night, and Good Luck. (2005)",Sexy Beast (2000),Coraline (2009),Eastern Promises (2007),"Station Agent, The (2003)",Persepolis (2007),No Man's Land (2001),"Last King of Scotland, The (2006)",No Country for Old Men (2007),"Triplets of Belleville, The (Les triplettes de Belleville) (2003)","Das Experiment (Experiment, The) (2001)","Machinist, The (Maquinista, El) (2004)","Wrestler, The (2008)","Good bye, Lenin! (2003)",Children of Men (2006),"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Spellbound (2002),Zodiac (2007),"Man Who Wasn't There, The (2001)"
"Life of David Gale, The (2003)","Importance of Being Earnest, The (2002)",Catch Me If You Can (2002),Shutter Island (2010),"Manchurian Candidate, The (2004)",Identity (2003),Sherlock Holmes: A Game of Shadows (2011),"Illusionist, The (2006)",Enemy at the Gates (2001),Ray (2004),Source Code (2011),Runaway Jury (2003),Matchstick Men (2003),American Gangster (2007),The Butterfly Effect (2004),"Beautiful Mind, A (2001)",Blow (2001),Grindhouse (2007),"Hurt Locker, The (2008)",Midnight in Paris (2011),"Life of David Gale, The (2003)"
Tangled (2010),How to Train Your Dragon (2010),Iron Man 2 (2010),Runaway Jury (2003),Finding Forrester (2000),Taken (2008),Remember the Titans (2000),Shanghai Knights (2003),Madagascar (2005),Two Weeks Notice (2002),Live Free or Die Hard (2007),Over the Hedge (2006),Seabiscuit (2003),Ice Age 2: The Meltdown (2006),Sherlock Holmes: A Game of Shadows (2011),"Blind Side, The  (2009)",Proof of Life (2000),Mona Lisa Smile (2003),Limitless (2011),Cinderella Man (2005),Tangled (2010)
Kill Bill: Vol. 1 (2003),Kill Bill: Vol. 2 (2004),Battle Royale (Batoru rowaiaru) (2000),Sin City (2005),Snatch (2000),Blow (2001),Death Proof (2007),3:10 to Yuma (2007),Sexy Beast (2000),Inglourious Basterds (2009),Memento (2000),Superbad (2007),"Amelie (Fabuleux destin d'AmÃ©lie Poulain, Le) (2001)",Babel (2006),Requiem for a Dream (2000),In the Bedroom (2001),Old Boy (2003),"Wrestler, The (2008)",House of Flying Daggers (Shi mian mai fu) (2004),Rabbit-Proof Fence (2002),Kill Bill: Vol. 1 (2003)
Click (2006),Cinderella Man (2005),"Knight's Tale, A (2001)",Behind Enemy Lines (2001),"Recruit, The (2003)",DÃ©jÃ  Vu (Deja Vu) (2006),Taken (2008),Red Planet (2000),Star Trek: Nemesis (2002),Skyfall (2012),"Island, The (2005)","I, Robot (2004)",Iron Man 2 (2010),Mona Lisa Smile (2003),"Pursuit of Happyness, The (2006)",What Lies Beneath (2000),Live Free or Die Hard (2007),Walk the Line (2005),Shrek the Third (2007),"Girl Next Door, The (2004)",Click (2006)
Moon (2009),Children of Men (2006),True Grit (2010),Persepolis (2007),"Good bye, Lenin! (2003)",Zombieland (2009),Gone Baby Gone (2007),Looper (2012),"Last King of Scotland, The (2006)",Drive (2011),City of God (Cidade de Deus) (2002),American Gangster (2007),Coraline (2009),"Machinist, The (Maquinista, El) (2004)","Station Agent, The (2003)",Band of Brothers (2001),Matchstick Men (2003),"Prestige, The (2006)","Good Night, and Good Luck. (2005)",Kiss Kiss Bang Bang (2005),Moon (2009)
One Hour Photo (2002),Letters from Iwo Jima (2006),Coraline (2009),"Last King of Scotland, The (2006)",Stranger than Fiction (2006),"Animatrix, The (2003)",Eastern Promises (2007),Adaptation (2002),No Man's Land (2001),"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Into the Wild (2007),Zombieland (2009),"I Love You, Man (2009)",Super Size Me (2004),Jarhead (2005),"Very Long Engagement, A (Un long dimanche de fianÃ§ailles) (2004)",Looper (2012),Hot Fuzz (2007),True Grit (2010),One Hour Photo (2002)
Garden State (2004),In America (2002),Walk the Line (2005),Spellbound (2002),Frida (2002),"Good Night, and Good Luck. (2005)",Rabbit-Proof Fence (2002),Fantastic Mr. Fox (2009),"Good bye, Lenin! (2003)","Last King of Scotland, The (2006)","Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Layer Cake (2004),Amores Perros (Love's a Bitch) (2000),Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Whale Rider (2002),Letters from Iwo Jima (2006),Michael Clayton (2007),Eastern Promises (2007),Closer (2004),"Station Agent, The (2003)",Garden State (2004)
Love Actually (2003),Finding Neverland (2004),Sherlock Holmes: A Game of Shadows (2011),Despicable Me (2010),The Count of Monte Cristo (2002),"Simpsons Movie, The (2007)",In America (2002),Runaway Jury (2003),Big Fish (2003),How to Train Your Dragon (2010),Limitless (2011),Secondhand Lions (2003),Ice Age (2002),Life as a House (2001),Stranger than Fiction (2006),Igby Goes Down (2002),Mona Lisa Smile (2003),"Hobbit: An Unexpected Journey, The (2012)",Mean Girls (2004),"King's Speech, The (2010)",Love Actually (2003)
Waking Life (2001),Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Blow (2001),Babel (2006),Coraline (2009),"Last King of Scotland, The (2006)",Blood Diamond (2006),Eastern Promises (2007),Snatch (2000),In America (2002),District 9 (2009),Midnight in Paris (2011),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Forgetting Sarah Marshall (2008),3:10 to Yuma (2007),"Lives of Others, The (Das leben der Anderen) (2006)","Simpsons Movie, The (2007)",Before Sunset (2004),Orange County (2002),"History of Violence, A (2005)",Waking Life (2001)
Forgetting Sarah Marshall (2008),Blow (2001),Coraline (2009),Boiler Room (2000),"Last King of Scotland, The (2006)",Clerks II (2006),In America (2002),"I Love You, Man (2009)","Simpsons Movie, The (2007)",Gran Torino (2008),Looper (2012),Skyfall (2012),Django Unchained (2012),"King's Speech, The (2010)",Confessions of a Dangerous Mind (2002),"Very Long Engagement, A (Un long dimanche de fianÃ§ailles) (2004)","Dark Knight Rises, The (2012)",Knocked Up (2007),Pineapple Express (2008),3:10 to Yuma (2007),Forgetting Sarah Marshall (2008)
"Science of Sleep, The (La science des rÃªves) (2006)",Coraline (2009),Grindhouse (2007),Scott Pilgrim vs. the World (2010),Matchstick Men (2003),"Station Agent, The (2003)","Lives of Others, The (Das leben der Anderen) (2006)",Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Spellbound (2002),"Hurt Locker, The (2008)",Confessions of a Dangerous Mind (2002),Howl's Moving Castle (Hauru no ugoku shiro) (2004),3:10 to Yuma (2007),Burn After Reading (2008),Band of Brothers (2001),"Das Experiment (Experiment, The) (2001)","Importance of Being Earnest, The (2002)","Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Persepolis (2007),Eastern Promises (2007),"Science of Sleep, The (La science des rÃªves) (2006)"
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),"Day After Tomorrow, The (2004)",Die Another Day (2002),X-Men: The Last Stand (2006),Fantastic Four (2005),Troy (2004),Iron Man 2 (2010),Lara Croft Tomb Raider: The Cradle of Life (2003),Planet of the Apes (2001),Paycheck (2003),I Am Legend (2007),Finding Forrester (2000),"One, The (2001)",Keeping the Faith (2000),Underworld (2003),Iron Man (2008),Red Planet (2000),X-Men Origins: Wolverine (2009),Pitch Black (2000),"Sum of All Fears, The (2002)",Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",Coyote Ugly (2000),Bad Boys II (2003),Pearl Harbor (2001),American Wedding (American Pie 3) (2003),Save the Last Dance (2001),"Fast and the Furious, The (2001)",Ocean's Twelve (2004),Paycheck (2003),Planet of the Apes (2001),"Day After Tomorrow, The (2004)","Sum of All Fears, The (2002)",Madagascar (2005),Space Cowboys (2000),Pirates of the Caribbean: At World's End (2007),Final Destination (2000),Gone in 60 Seconds (2000),Die Another Day (2002),S.W.A.T. (2003),Romeo Must Die (2000),"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)"
Bad Boys II (2003),Men of Honor (2000),Pearl Harbor (2001),Hancock (2008),"Legend of Bagger Vance, The (2000)","Transporter, The (2002)",Blade: Trinity (2004),"Fast and the Furious, The (2001)","Scorpion King, The (2002)",Troy (2004),Ocean's Twelve (2004),Gone in 60 Seconds (2000),"Score, The (2001)",Lara Croft Tomb Raider: The Cradle of Life (2003),"Italian Job, The (2003)",Enemy at the Gates (2001),Paycheck (2003),What Women Want (2000),Hitch (2005),I Am Legend (2007),Bad Boys II (2003)
Death Proof (2007),3:10 to Yuma (2007),Grindhouse (2007),Battle Royale (Batoru rowaiaru) (2000),Gone Baby Gone (2007),"Aviator, The (2004)",American Gangster (2007),True Grit (2010),Planet Terror (2007),Road to Perdition (2002),Sherlock Holmes: A Game of Shadows (2011),Coraline (2009),Walk the Line (2005),Amores Perros (Love's a Bitch) (2000),"Last King of Scotland, The (2006)",Hotel Rwanda (2004),Ray (2004),Zodiac (2007),127 Hours (2010),Blow (2001),Death Proof (2007)
Starsky & Hutch (2004),Zombieland (2009),Walk the Line (2005),"Brothers Grimm, The (2005)","I Love You, Man (2009)",Skyfall (2012),Titan A.E. (2000),Limitless (2011),Atonement (2007),"King's Speech, The (2010)",Talladega Nights: The Ballad of Ricky Bobby (2006),Chocolat (2000),"Gift, The (2000)",X-Men: The Last Stand (2006),Thirteen (2003),Hotel Rwanda (2004),X-Men: First Class (2011),Mona Lisa Smile (2003),Argo (2012),"Recruit, The (2003)",Starsky & Hutch (2004)
Moulin Rouge (2001),About a Boy (2002),Bridget Jones's Diary (2001),Sweeney Todd: The Demon Barber of Fleet Street (2007),"Devil Wears Prada, The (2006)",Chicago (2002),Cold Mountain (2003),"Illusionist, The (2006)",Holes (2003),127 Hours (2010),Limitless (2011),Road to Perdition (2002),Superman Returns (2006),Over the Hedge (2006),Pride & Prejudice (2005),School of Rock (2003),Tangled (2010),American Splendor (2003),Wonder Boys (2000),Red Dragon (2002),Moulin Rouge (2001)
Nutty Professor II: The Klumps (2000),Mona Lisa Smile (2003),Tangled (2010),Evolution (2001),Mr. Deeds (2002),Bruce Almighty (2003),Red Planet (2000),Space Cowboys (2000),Click (2006),"I, Robot (2004)",How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),13 Going on 30 (2004),Spanglish (2004),How to Train Your Dragon (2010),Madagascar (2005),Skyfall (2012),Panic Room (2002),Behind Enemy Lines (2001),Secret Window (2004),Along Came Polly (2004),Nutty Professor II: The Klumps (2000)
"Scorpion King, The (2002)","Island, The (2005)","Transporter, The (2002)",National Treasure (2004),Troy (2004),Iron Man (2008),X-Men: The Last Stand (2006),Lara Croft Tomb Raider: The Cradle of Life (2003),Mission: Impossible II (2000),"I, Robot (2004)","Mummy Returns, The (2001)",Hancock (2008),DÃ©jÃ  Vu (Deja Vu) (2006),Die Another Day (2002),Shanghai Noon (2000),Gone in 60 Seconds (2000),"Recruit, The (2003)",Ocean's Thirteen (2007),Starsky & Hutch (2004),Mr. Deeds (2002),"Scorpion King, The (2002)"
Not Another Teen Movie (2001),Scary Movie 2 (2001),Underworld (2003),From Hell (2001),The Count of Monte Cristo (2002),"Simpsons Movie, The (2007)",Taken (2008),50 First Dates (2004),Argo (2012),"Hobbit: An Unexpected Journey, The (2012)",X-Men: First Class (2011),Rat Race (2001),Shark Tale (2004),Iron Man (2008),Man on Fire (2004),Live Free or Die Hard (2007),"Hunger Games, The (2012)",Along Came Polly (2004),Sherlock Holmes: A Game of Shadows (2011),Two Weeks Notice (2002),Not Another Teen Movie (2001)
Shutter Island (2010),"Hurt Locker, The (2008)",Gone Baby Gone (2007),Man on Fire (2004),Sherlock Holmes: A Game of Shadows (2011),Coraline (2009),"Prestige, The (2006)",Band of Brothers (2001),"Good bye, Lenin! (2003)",Blood Diamond (2006),Apocalypto (2006),Zodiac (2007),Inside Man (2006),Despicable Me (2010),Monsoon Wedding (2001),Matchstick Men (2003),Walk the Line (2005),Road to Perdition (2002),Eastern Promises (2007),"Last King of Scotland, The (2006)",Shutter Island (2010)
Equilibrium (2002),Clerks II (2006),Letters from Iwo Jima (2006),Blow (2001),Orange County (2002),"Boondock Saints, The (2000)",Walk the Line (2005),Pitch Black (2000),Django Unchained (2012),"Girl with the Dragon Tattoo, The (MÃ¤n som hatar kvinnor) (2009)",Matchstick Men (2003),Midnight in Paris (2011),"I Love You, Man (2009)","Dark Knight Rises, The (2012)","Pursuit of Happyness, The (2006)",Sunshine (2007),Batman Begins (2005),"Man from Earth, The (2007)",American Gangster (2007),We Were Soldiers (2002),Equilibrium (2002)
Big Fish (2003),Walk the Line (2005),Stranger than Fiction (2006),"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Babel (2006),"Importance of Being Earnest, The (2002)","Station Agent, The (2003)",Thank You for Smoking (2006),Juno (2007),In America (2002),"Last King of Scotland, The (2006)",Atonement (2007),"Good Night, and Good Luck. (2005)",Confessions of a Dangerous Mind (2002),Chocolat (2000),Syriana (2005),Howl's Moving Castle (Hauru no ugoku shiro) (2004),Michael Clayton (2007),Midnight in Paris (2011),"Hitchhiker's Guide to the Galaxy, The (2005)",Big Fish (2003)
"Hobbit: An Unexpected Journey, The (2012)",Sherlock Holmes: A Game of Shadows (2011),Live Free or Die Hard (2007),"Dark Knight Rises, The (2012)",Man on Fire (2004),Iron Man (2008),Runaway Jury (2003),How to Train Your Dragon (2010),"Hurt Locker, The (2008)",Taken (2008),Kung Fu Panda (2008),"Simpsons Movie, The (2007)",Limitless (2011),Matchstick Men (2003),Argo (2012),"King's Speech, The (2010)",3:10 to Yuma (2007),Orange County (2002),Life as a House (2001),Proof of Life (2000),"Hobbit: An Unexpected Journey, The (2012)"
Space Cowboys (2000),Keeping the Faith (2000),Hitch (2005),"Knight's Tale, A (2001)",Save the Last Dance (2001),Frequency (2000),Thirteen Days (2000),Secret Window (2004),Finding Forrester (2000),Ocean's Thirteen (2007),Cinderella Man (2005),Tangled (2010),Shanghai Knights (2003),Madagascar (2005),"Sum of All Fears, The (2002)",Iron Man 2 (2010),Taken (2008),50 First Dates (2004),Boiler Room (2000),Final Destination (2000),Space Cowboys (2000)
Vanilla Sky (2001),The Butterfly Effect (2004),Identity (2003),"Hitchhiker's Guide to the Galaxy, The (2005)",Blow (2001),Sunshine (2007),"Manchurian Candidate, The (2004)","Life of David Gale, The (2003)",Shutter Island (2010),Clerks II (2006),"Man from Earth, The (2007)",Sherlock Holmes: A Game of Shadows (2011),Talladega Nights: The Ballad of Ricky Bobby (2006),28 Days (2000),Secret Window (2004),Proof of Life (2000),Training Day (2001),Lucky Number Slevin (2006),American Gangster (2007),About Schmidt (2002),Vanilla Sky (2001)
"Whole Nine Yards, The (2000)",Bandits (2001),Finding Forrester (2000),Behind Enemy Lines (2001),Keeping the Faith (2000),Chocolat (2000),"Girl with the Dragon Tattoo, The (MÃ¤n som hatar kvinnor) (2009)",Red Dragon (2002),Secret Window (2004),Confessions of a Dangerous Mind (2002),Hancock (2008),Cinderella Man (2005),Stardust (2007),"King's Speech, The (2010)",In America (2002),Kingdom of Heaven (2005),Shaft (2000),Gone Baby Gone (2007),Red Planet (2000),Mona Lisa Smile (2003),"Whole Nine Yards, The (2000)"
Monster's Ball (2001),Monster (2003),"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",Monsoon Wedding (2001),Confessions of a Dangerous Mind (2002),Far from Heaven (2002),In America (2002),"History of Violence, A (2005)",Almost Famous (2000),Spellbound (2002),Eastern Promises (2007),Juno (2007),Amores Perros (Love's a Bitch) (2000),Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Munich (2005),"Last King of Scotland, The (2006)","Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Super Size Me (2004),Coraline (2009),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Monster's Ball (2001)
"Recruit, The (2003)",Madagascar (2005),DÃ©jÃ  Vu (Deja Vu) (2006),I Am Legend (2007),"I, Robot (2004)",Limitless (2011),Finding Forrester (2000),Ocean's Thirteen (2007),"Manchurian Candidate, The (2004)",Kingdom of Heaven (2005),We Were Soldiers (2002),"Sum of All Fears, The (2002)",Ocean's Twelve (2004),Hitch (2005),Iron Man 2 (2010),Sherlock Holmes: A Game of Shadows (2011),Cinderella Man (2005),Keeping the Faith (2000),Skyfall (2012),U-571 (2000),"Recruit, The (2003)"
Once (2006),"Station Agent, The (2003)",Red Dragon (2002),Lemony Snicket's A Series of Unfortunate Events (2004),"Das Experiment (Experiment, The) (2001)","Lives of Others, The (Das leben der Anderen) (2006)",American Gangster (2007),Argo (2012),"Manchurian Candidate, The (2004)","King's Speech, The (2010)","Wrestler, The (2008)",How to Train Your Dragon (2010),Cold Mountain (2003),"Simpsons Movie, The (2007)",True Grit (2010),Gone Baby Gone (2007),"Good Night, and Good Luck. (2005)",Hotel Rwanda (2004),"Machinist, The (Maquinista, El) (2004)",No Man's Land (2001),Once (2006)
"Dark Knight, The (2008)",Inception (2010),Batman Begins (2005),"Prestige, The (2006)",Looper (2012),"Bourne Identity, The (2002)","Dark Knight Rises, The (2012)",Thirteen Days (2000),Catch Me If You Can (2002),"King's Speech, The (2010)",Coraline (2009),"Departed, The (2006)",Ocean's Eleven (2001),Man on Fire (2004),Matchstick Men (2003),True Grit (2010),Iron Man (2008),"Avengers, The (2012)",Boiler Room (2000),Skyfall (2012),"Dark Knight, The (2008)"
Frida (2002),Hotel Rwanda (2004),Whale Rider (2002),Walk the Line (2005),Letters from Iwo Jima (2006),Confessions of a Dangerous Mind (2002),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Coraline (2009),"King's Speech, The (2010)",Ray (2004),Spellbound (2002),Orange County (2002),"Good bye, Lenin! (2003)","Last King of Scotland, The (2006)","Girl with the Dragon Tattoo, The (MÃ¤n som hatar kvinnor) (2009)",Far from Heaven (2002),"Illusionist, The (2006)",Runaway Jury (2003),Gone Baby Gone (2007),Howl's Moving Castle (Hauru no ugoku shiro) (2004),Frida (2002)
"Patriot, The (2000)",Men of Honor (2000),"I, Robot (2004)",Ocean's Thirteen (2007),Kingdom of Heaven (2005),The Count of Monte Cristo (2002),We Were Soldiers (2002),Taken (2008),"Last Samurai, The (2003)",Gladiator (2000),"Italian Job, The (2003)",National Treasure (2004),Proof of Life (2000),Mission: Impossible II (2000),Troy (2004),Cast Away (2000),Remember the Titans (2000),Enemy at the Gates (2001),DÃ©jÃ  Vu (Deja Vu) (2006),Van Helsing (2004),"Patriot, The (2000)"
"Downfall (Untergang, Der) (2004)",Gone Baby Gone (2007),True Grit (2010),Zodiac (2007),Planet Terror (2007),Drive (2011),"Departed, The (2006)",Coraline (2009),Layer Cake (2004),Up (2009),Scott Pilgrim vs. the World (2010),"Maria Full of Grace (Maria, Llena eres de gracia) (2004)","Prestige, The (2006)","Last King of Scotland, The (2006)","Wrestler, The (2008)",Eastern Promises (2007),Moon (2009),"Good Night, and Good Luck. (2005)","King's Speech, The (2010)",Inception (2010),"Downfall (Untergang, Der) (2004)"
